location,depth,DBD,LOI,Sand
tl08_1,0.5,0.048799999999999955,36.47540983606432,60
tl08_1,1.5,0.17959999999999887,20.100222717148988,88
tl08_1,2.5,0.21749999999999936,15.264367816091543,246
tl08_1,3.5,0.3523000000000014,10.899801305705633,452
tl08_1,4.5,0.3542000000000005,12.422360248447323,610
tl08_1,5.5,0.33670000000000044,14.43421443421454,756
tl08_1,6.5,0.5649000000000015,6.72685431049746,1820
tl08_1,7.5,0.6743999999999986,5.249110320284592,4358
tl08_1,8.5,0.5326000000000004,7.923394667668249,2452
tl08_1,9.5,0.9594000000000005,4.33604336043368,2632
tl08_1,10.5,0.5416000000000007,7.551698670605714,2322
tl08_1,11.5,0.6419999999999995,21.794392523364234,1472
tl08_1,12.5,0.686300000000001,5.988634707853719,1704
tl08_1,13.5,0.8303999999999991,4.780828516377636,2636
tl08_1,14.5,1.0396999999999998,3.4048283158602684,6012
tl08_1,15.5,0.5245000000000006,10.981887511916243,3254
tl08_1,16.5,0.1617999999999995,55.253399258343485,1138
tl08_1,17.5,0.14830000000000076,57.65340525960959,300
tl08_1,18.5,0.14399999999999835,58.95833333333352,44
tl08_1,19.5,0.1294000000000004,50.23183925811383,46
tl08_1,20.5,0.12930000000000064,49.57463263727727,26
