ageAD,depth
2018.3355700430088,0.5
2017.0067101290263,1.5
2015.0752493570972,2.5
2012.5411877272218,3.5
2009.9961961801944,4.5
2007.4402747160157,5.5
2004.9224878000118,6.5
2002.4428354321833,7.5
1999.786249785878,8.5
1996.9527308610964,9.5
1994.2760629276809,10.5
1991.7562459856322,11.5
1989.3102217053918,12.5
1986.9379900869603,13.5
1983.8320924928744,14.5
1979.992528923134,15.5
1976.085059113646,16.5
1972.1096830644099,17.5
1967.986554018359,18.5
1963.7156719754928,19.5
1960.0195047444959,20.5
1956.8980523253679,21.5
1953.9938899883127,22.5
1951.3070177333298,23.5
1947.3416726709052,24.5
1942.097854801038,25.5
1937.821020755188,26.5
1934.5111705333552,27.5
1931.892184066829,28.5
1929.9640613556096,29.5
1929,30.5
1929,31.5
1929,32.5
